138,Jarana Leona,4 strings 4 courses,Mexico,G2:A2:D3:G3
139,Kamancheh,4 strings 4 courses,Iran - Armenia - Azerbaijan - Uzbekistan - Turkmenistan,D5:A5:D4:A4
140,Khonkhota,8 strings 5 courses ,South America,G4:G3:C4:D4:D3:A3:D4:D4
141,Kithara Sarda,6 strings 6 courses,Sardinia - Italy.,B2:E2:A2:D3:F3:B3
142,Kokles,11 strings 11 courses,Latvia,G3:A3:C3:D3:E3:F3:G4:A4:B4:C4:G3:A3:C3:D3:E3:F3:G4:A4:B4:C4
143,Laouto,8 strings 4 courses,Greece,C2:C3:G2:G3:D2:D3:A3:A3
144,Laúd - Cuban,12 strings 6 courses,Cuba,D3:D3:B3:B3:E4:E4:A4:A4:D5:D5
145,Laúd - Philippine,14 strings 6 courses,Philippines,B2:B2:E3:E3:A3:A3:A3:D4:D4:D4:G4:G4:G4
146,Lili'u,8 strings 4 courses,Hawaii,G3:G4:C3:C4:E4:E4:A4:A4
147,Liuto cantabile,10 strings 5 courses,Naples - Italy,C2:C2:G2:G2:D3:D3:A3:A3:E4:E4
148,Luc huyen cam,5 strings 5 courses,Vietnam,C3:F3:C4:G4:C5
149,Luc huyen cam,6 strings 6 courses,Vietnam,E2:A2:D3:G3:B4:E4
150,Lute,,Europe,G2:G2:C3:C3:F3:F3:A3:A3:D4:D4:G4:G4
151,Lute guitar,6 strings 6 courses,Germany,E2:A2:D3:G3:B3:E4
152,Mandobass,4 strings 4 courses,Europe,E1:A1:D2:G2
153,Mandobass,8 strings 4 courses,Europe,G1:G1:D2:D2:A2:A2:E3:E3
154,Mandocello,8 strings 4 courses,,C2:C2:G2:G2:D3:D3:A3:A3
155,Mandola,8 strings 4 courses,,C3:C3:G3:G3:D4:D4:A4:A4
156,Mandolin,8 strings 4 courses,,G3:G3:D4:D4:A4:A4:E5:E5
157,Mandolin - Octave,8 strings 4 courses,,G2:G2:D3:D3:A3:A3:E4:E4
158,Mandolin - Piccolo,8 strings 4 courses,,C4:C4:G4:G4:D5:D5:A5:A5
159,Mandolinetto,8 strings 4 courses,USA and Canada,G3:G3:D4:D4:A4:A4:E5:E5
160,Mandriola,12 strings 4 courses,Europe,G3:G3:G3:D4:D4:D4:A4:A4:A4:E5:E5:E5
161,Manguerito,7 strings 5 courses,La Paz - Bolivia,D4:G4:B4:B3:E4:B4:B4
162,Nevoud,11 strings 6 courses,Turkey,B2:B2:E3:E3:A3:A3:D4:D4
